time	NK.EXE	filesys.exe	device.exe	uptimesqm.exe	poutlook.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	calupd.exe	SSClient.exe	RBTimeStamp.exe	IQueue.exe	RBLogger.exe	SSTransferAgent.exe	memuse.exe	RFIDDce.Exe	DataServer.exe	flexmobility.view.CF.exe	repllog.exe	Dw.exe	ssLaunch.exe	MobileCalculator.exe	calnot.exe	Tskschedule.exe	total
20.03.2015 06:26:46	0	0	9039872	40960	86016	3284992	1601536	1056768	704512	94208	704512	20480	524288	65536	106496	106496	2813952	1601536								21852160
20.03.2015 06:26:56	0	0	9097216		86016	3284992	1609728	1048576	708608		1490944	20480	544768	65536		110592	2813952	1617920								22499328
20.03.2015 06:27:06	0	0	9224192		86016	3284992	1605632	1048576	716800		1830912	20480	1224704	65536		110592	2813952	1622016								23654400
20.03.2015 06:27:16	0	0	9224192		86016	3284992	1605632	1048576	716800		1835008	20480	1224704	65536		110592	2813952	1622016								23658496
20.03.2015 06:27:26	0	0	9224192		86016	3284992	1605632	1048576	716800		1835008	20480	1224704	65536		110592	2813952	1622016								23658496
20.03.2015 06:27:36	0	0	9224192		86016	3284992	1605632	1048576	716800		1835008	20480	1224704	65536		110592	2813952	1622016								23658496
20.03.2015 06:27:46	0	0	9224192		86016	3284992	1617920	1048576	716800		1835008	20480	1224704	65536		110592	2813952	1622016								23670784
20.03.2015 06:27:56	0	0	9224192		86016	3502080	1675264	1048576	720896		1851392	20480	1224704	65536		110592	2813952	1622016	4255744							28221440
20.03.2015 06:28:06	0	0	9224192		86016	3522560	1785856	1048576	720896		1851392	20480	1224704	65536		110592	2813952	1626112	5070848							29171712
20.03.2015 06:28:16	0	0	9224192		86016	3522560	1785856	1048576	720896		1851392	20480	1224704	65536		110592	2813952	1626112	5070848							29171712
20.03.2015 06:28:26	0	0	9224192		86016	3522560	1785856	1048576	720896		1851392	20480	1224704	65536		110592	2813952	1626112	5070848							29171712
