time	NK.EXE	filesys.exe	device.exe	uptimesqm.exe	poutlook.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	IQueue.exe	SSClient.exe	RBLogger.exe	RBTimeStamp.exe	SSTransferAgent.exe	memuse.exe	ssLaunch.exe	RFIDDce.Exe	DataServer.exe	flexmobility.view.CF.exe	Dw.exe	autorun.exe	RemoteViewer.exe	fexplore.exe	total
20.03.2015 13:50:14	0	0	9052160	40960	86016	3244032	1622016	1036288	716800	598016	348160	65536	20480	106496	106496	36864	2813952	1601536						21495808
20.03.2015 13:50:24	0	0	9166848		86016	3518464	1634304	1036288	716800	1110016	1630208	65536	20480		110592		2813952	1617920						23527424
20.03.2015 13:50:34	0	0	9195520		86016	3530752	1789952	1036288	720896	1122304	1896448	65536	20480		110592		2813952	1622016	4902912					28913664
20.03.2015 13:50:44	0	0	9216000		86016	3538944	1789952	1036288	720896	1122304	1896448	65536	20480		110592		2813952	1626112	5070848					29114368
20.03.2015 13:50:54	0	0	9216000		86016	3538944	1789952	1036288	720896	1126400	1900544	65536	20480		110592		2813952	1626112	5070848					29122560
20.03.2015 13:51:04	0	0	9216000		86016	3538944	1789952	1036288	720896	1126400	1900544	65536	20480		110592		2813952	1626112	5070848					29122560
20.03.2015 13:51:14	0	0	9220096		86016	3682304	1789952	1036288	724992	1126400	1900544	65536	20480		110592		2813952	1626112	5525504					29728768
20.03.2015 13:51:24	0	0	9220096		86016	3682304	1789952	1036288	724992	1126400	1900544	65536	20480		110592		2813952	1626112	5525504					29728768
20.03.2015 13:51:34	0	0	9236480		86016	3563520	1789952	1036288	724992	1208320	1941504	65536	20480		110592		2813952	1626112	5537792					29761536
20.03.2015 13:51:44	0	0	9236480		86016	3563520	1789952	1036288	724992	1208320	1941504	65536	20480		110592		2813952	1626112	5537792					29761536
20.03.2015 13:51:54	0	0	9236480		86016	3563520	1789952	1036288	724992	1208320	1941504	65536	20480		110592		2813952	1626112	5537792					29761536
20.03.2015 13:52:04	0	0	9236480		86016	3563520	1789952	1036288	724992	1208320	1941504	65536	20480		110592		2813952	1626112	5537792					29761536
20.03.2015 13:52:14	0	0	9236480		86016	3563520	1789952	1036288	724992	1208320	1941504	65536	20480		110592		2813952	1626112	5521408	241664				29986816
20.03.2015 13:52:24	0	0	9240576		86016	3563520	1789952	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5521408					29814784
20.03.2015 13:52:34	0	0	9240576		86016	3563520	1789952	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5521408					29814784
20.03.2015 13:52:44	0	0	9240576		86016	3563520	1789952	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5521408					29814784
20.03.2015 13:52:55	0	0	9240576		86016	3563520	1789952	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5521408					29814784
20.03.2015 13:53:05	0	0	9240576		86016	3563520	1789952	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5521408					29814784
20.03.2015 13:53:15	0	0	9240576		86016	3563520	1789952	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5521408					29814784
20.03.2015 13:53:25	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5492736					29904896
20.03.2015 13:53:35	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5492736					29904896
20.03.2015 13:53:45	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5492736					29904896
20.03.2015 13:53:55	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5492736					29904896
20.03.2015 13:54:05	0	0	9240576		86016	3563520	1802240	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5537792	53248				29896704
20.03.2015 13:54:15	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2007040	65536	20480		110592		2813952	1626112	5529600					29941760
