time	NK.EXE	filesys.exe	device.exe	cprog.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	poutlook.exe	tmarshaller.exe	IQueue.exe	AEBPlus.exe	DataServer.exe	SSClient.exe	memuse.exe	ENCommLoader.exe	SureLockClient.exe	wceload.exe	KioskCenter.exe	SSTransferAgent.exe	SpeedyMOBILE.exe	uptimesqm.exe	total
3/16/2015 11:26:19 AM	0	0	8564736	1503232	1630208	1925120	954368	339968	86016	90112	544768	172032	1646592	733184	102400	208896	172032	393216	1396736	118784			20582400
3/16/2015 11:26:29 AM	0	0	8593408	1511424	3080192	2002944	954368	339968	86016	90112	565248	172032	1667072	827392	106496	208896	147456	393216	180224	114688	4923392		25964544
3/16/2015 11:26:40 AM	0	0	8814592	1597440	4489216	2297856	954368	356352	86016	90112	565248	172032	1667072	827392	106496	208896	147456	393216	180224	114688	4706304		27774976
3/16/2015 11:26:50 AM	0	0	8888320	1597440	3887104	2293760	962560	364544	86016	90112	565248	172032	1667072	831488	106496	208896	147456	393216	180224	114688	6086656		28643328
3/16/2015 11:27:00 AM	0	0	8896512	1597440	3887104	2289664	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6086656		28745728
3/16/2015 11:27:10 AM	0	0	8896512	1597440	3887104	2289664	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6103040		28762112
3/16/2015 11:27:20 AM	0	0	8900608	1597440	3891200	2281472	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6217728		28876800
3/16/2015 11:27:30 AM	0	0	8900608	1597440	3907584	2281472	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6414336		29089792
3/16/2015 11:27:40 AM	0	0	8900608	1597440	3907584	2281472	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6483968		29159424
3/16/2015 11:27:50 AM	0	0	8900608	1597440	3907584	2281472	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6819840		29495296
3/16/2015 11:28:00 AM	0	0	8916992	1597440	3973120	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29261824
3/16/2015 11:28:10 AM	0	0	8937472	1597440	3973120	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29282304
3/16/2015 11:28:20 AM	0	0	8937472	1597440	4247552	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29556736
3/16/2015 11:28:30 AM	0	0	8937472	1597440	4247552	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29556736
3/16/2015 11:28:40 AM	0	0	8937472	1597440	3973120	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29282304
3/16/2015 11:28:50 AM	0	0	8937472	1597440	3981312	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6537216		29310976
3/16/2015 11:29:00 AM	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6578176		29466624
3/16/2015 11:29:10 AM	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6696960		29585408
3/16/2015 11:29:20 AM	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6754304		29642752
3/16/2015 11:29:30 AM	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6692864		29581312
3/16/2015 11:29:40 AM	0	0	8949760	1597440	4546560	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6692864		30044160
3/16/2015 11:29:50 AM	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6696960		29585408
3/16/2015 11:30:00 AM	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6688768		30019584
3/16/2015 11:30:10 AM	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
3/16/2015 11:30:20 AM	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
3/16/2015 11:30:30 AM	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
3/16/2015 11:30:40 AM	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
